review_id,product_id,customer_id,rating,review_text,review_date
6001,2028,1001,4,"Very good product, happy with purchase.",2024-09-30
6002,2135,1001,3,"Acceptable, does what it says.",2024-09-03
6003,2035,1001,5,Excellent product! Exceeded my expectations.,2024-04-21
6004,2142,1002,2,"Below expectations, wouldn't recommend.",2024-09-20
6005,2071,1002,5,Best purchase ever! Five stars!,2024-04-26
6006,2127,1002,2,"Disappointed, expected better quality.",2024-09-10
6007,2114,1003,3,"Decent product, meets basic needs.",2024-05-21
6008,2078,1004,4,"Great product, minor issues but overall satisfied.",2024-10-31
6009,2139,1004,5,Best purchase ever! Five stars!,2024-07-25
6010,2112,1005,4,"Very good product, happy with purchase.",2024-10-03
6011,2060,1005,3,"Decent product, meets basic needs.",2024-10-31
6012,2093,1005,4,"Nice item, good value for money.",2024-10-10
6013,2002,1007,4,"Very good product, happy with purchase.",2024-10-07
6014,2023,1007,5,Excellent product! Exceeded my expectations.,2024-07-01
6015,2029,1007,5,Absolutely love it! Highly recommend.,2024-11-27
6016,2101,1007,5,Perfect! Exactly what I needed.,2024-11-11
6017,2150,1007,5,Best purchase ever! Five stars!,2024-07-21
6018,2119,1008,4,"Nice item, good value for money.",2024-06-24
6019,2116,1008,3,"Decent product, meets basic needs.",2024-10-21
6020,2098,1009,1,"Worst purchase, totally unusable.",2024-11-19
6021,2089,1009,5,Best purchase ever! Five stars!,2024-11-20
6022,2016,1009,5,Excellent product! Exceeded my expectations.,2024-09-14
6023,2040,1010,4,"Great product, minor issues but overall satisfied.",2024-07-20
6024,2002,1010,2,"Not great, has some issues.",2024-10-04
6025,2097,1011,2,"Not great, has some issues.",2024-11-01
6026,2116,1011,4,"Very good product, happy with purchase.",2024-07-20
6027,2126,1011,2,"Below expectations, wouldn't recommend.",2024-10-07
6028,2086,1011,5,Excellent product! Exceeded my expectations.,2024-10-04
6029,2022,1012,2,"Unsatisfied, had problems with it.",2024-11-13
6030,2001,1012,3,Fair product for the price.,2024-08-21
6031,2041,1013,2,"Unsatisfied, had problems with it.",2024-09-20
6032,2071,1013,2,"Disappointed, expected better quality.",2024-09-21
6033,2125,1014,1,"Terrible product, waste of money.",2024-10-20
6034,2065,1014,4,"Very good product, happy with purchase.",2024-08-14
6035,2083,1014,4,"Good quality, works as expected.",2024-10-10
6036,2133,1014,4,"Very good product, happy with purchase.",2024-08-26
6037,2084,1015,4,"Nice item, good value for money.",2024-11-09
6038,2136,1015,4,"Nice item, good value for money.",2024-07-19
6039,2046,1015,4,"Great product, minor issues but overall satisfied.",2024-11-06
6040,2005,1015,3,"Decent product, meets basic needs.",2024-09-02
6041,2014,1015,5,Outstanding quality and fast delivery.,2024-07-28
6042,2102,1017,4,"Solid product, would buy again.",2024-09-23
6043,2125,1017,4,"Nice item, good value for money.",2024-09-17
6044,2077,1017,4,"Very good product, happy with purchase.",2024-11-29
6045,2030,1018,3,Fair product for the price.,2024-11-19
6046,2148,1018,5,Perfect! Exactly what I needed.,2024-11-03
6047,2128,1018,1,"Very disappointed, does not work.",2024-10-17
6048,2030,1018,5,Absolutely love it! Highly recommend.,2024-06-08
6049,2050,1019,5,Absolutely love it! Highly recommend.,2024-09-10
6050,2048,1020,5,Absolutely love it! Highly recommend.,2024-07-19
6051,2087,1020,4,"Good quality, works as expected.",2024-07-24
6052,2125,1020,5,Absolutely love it! Highly recommend.,2024-09-22
6053,2048,1021,2,"Unsatisfied, had problems with it.",2024-08-08
6054,2041,1021,4,"Very good product, happy with purchase.",2024-08-18
6055,2077,1022,4,"Solid product, would buy again.",2024-10-02
6056,2109,1023,1,"Worst purchase, totally unusable.",2024-12-04
6057,2148,1023,5,Absolutely love it! Highly recommend.,2024-11-02
6058,2055,1023,2,"Poor quality, not worth the price.",2024-11-27
6059,2069,1024,5,Perfect! Exactly what I needed.,2024-10-28
6060,2107,1024,4,"Nice item, good value for money.",2024-11-02
6061,2093,1024,5,Best purchase ever! Five stars!,2024-10-22
6062,2114,1025,4,"Solid product, would buy again.",2024-11-27
6063,2009,1025,5,Absolutely love it! Highly recommend.,2024-12-07
6064,2024,1025,4,"Good quality, works as expected.",2024-11-10
6065,2150,1026,3,"It's okay, works fine but not amazing.",2024-11-20
6066,2047,1027,2,"Disappointed, expected better quality.",2024-11-30
6067,2140,1027,4,"Very good product, happy with purchase.",2024-11-20
6068,2001,1027,4,"Good quality, works as expected.",2024-11-28
6069,2081,1006,5,Best purchase ever! Five stars!,2024-09-30
6070,2056,1006,3,"It's okay, works fine but not amazing.",2024-09-26
6071,2030,1016,5,Best purchase ever! Five stars!,2024-08-08
6072,2147,1016,3,"Acceptable, does what it says.",2024-11-07
6073,2012,1031,3,"It's okay, works fine but not amazing.",2024-04-22
6074,2047,1031,4,"Very good product, happy with purchase.",2024-08-22
6075,2087,1031,3,"It's okay, works fine but not amazing.",2024-08-06
6076,2058,1032,5,Absolutely love it! Highly recommend.,2024-07-26
6077,2116,1032,4,"Good quality, works as expected.",2024-07-21
6078,2143,1033,4,"Solid product, would buy again.",2024-10-07
6079,2072,1033,5,Outstanding quality and fast delivery.,2024-09-19
6080,2017,1034,5,Excellent product! Exceeded my expectations.,2024-06-26
6081,2088,1034,5,Perfect! Exactly what I needed.,2024-09-26
6082,2084,1035,5,Excellent product! Exceeded my expectations.,2024-09-25
6083,2058,1035,1,"Awful quality, returned immediately.",2024-10-05
6084,2147,1036,5,Outstanding quality and fast delivery.,2024-08-12
6085,2135,1038,4,"Solid product, would buy again.",2024-08-22
6086,2099,1038,5,Excellent product! Exceeded my expectations.,2024-09-14
6087,2073,1039,5,Excellent product! Exceeded my expectations.,2024-10-04
6088,2115,1040,4,"Great product, minor issues but overall satisfied.",2024-09-29
6089,2010,1040,3,"Decent product, meets basic needs.",2024-10-13
6090,2053,1041,4,"Good quality, works as expected.",2024-07-26
6091,2059,1042,1,"Awful quality, returned immediately.",2024-08-12
6092,2067,1042,3,"Decent product, meets basic needs.",2024-08-12
6093,2015,1042,3,"Average quality, nothing special.",2024-08-26
6094,2069,1043,4,"Good quality, works as expected.",2024-09-09
6095,2065,1044,2,"Below expectations, wouldn't recommend.",2024-12-06
6096,2126,1044,4,"Solid product, would buy again.",2024-10-11
6097,2020,1045,5,Excellent product! Exceeded my expectations.,2024-11-09
6098,2066,1046,4,"Great product, minor issues but overall satisfied.",2024-06-09
6099,2143,1046,3,"Decent product, meets basic needs.",2024-11-14
6100,2014,1047,2,"Unsatisfied, had problems with it.",2024-07-07
6101,2148,1048,3,"Decent product, meets basic needs.",2024-07-28
6102,2113,1049,4,"Nice item, good value for money.",2024-09-25
6103,2037,1050,5,Excellent product! Exceeded my expectations.,2024-08-24
6104,2065,1051,5,Excellent product! Exceeded my expectations.,2024-11-10
6105,2034,1051,5,Absolutely love it! Highly recommend.,2024-11-15
6106,2119,1052,5,Perfect! Exactly what I needed.,2024-11-23
6107,2075,1053,2,"Unsatisfied, had problems with it.",2024-10-13
6108,2096,1053,4,"Good quality, works as expected.",2024-10-13
6109,2075,1054,4,"Great product, minor issues but overall satisfied.",2024-08-19
6110,2038,1055,4,"Great product, minor issues but overall satisfied.",2024-09-05
6111,2137,1056,2,"Unsatisfied, had problems with it.",2024-10-07
6112,2028,1061,2,"Not great, has some issues.",2024-10-02
6113,2009,1061,2,"Poor quality, not worth the price.",2024-09-23
6114,2138,1062,3,"Average quality, nothing special.",2024-07-28
6115,2063,1063,5,Absolutely love it! Highly recommend.,2024-08-03
6116,2111,1064,5,Excellent product! Exceeded my expectations.,2024-08-17
6117,2088,1065,5,Perfect! Exactly what I needed.,2024-08-21
6118,2107,1066,4,"Very good product, happy with purchase.",2024-09-13
6119,2036,1068,3,"Decent product, meets basic needs.",2024-11-11
6120,2084,1068,2,"Not great, has some issues.",2024-11-10
6121,2092,1068,3,Fair product for the price.,2024-10-24
6122,2082,1069,2,"Unsatisfied, had problems with it.",2024-12-02
6123,2129,1070,5,Excellent product! Exceeded my expectations.,2024-06-24
6124,2103,1070,5,Absolutely love it! Highly recommend.,2024-08-28
6125,2030,1071,5,Best purchase ever! Five stars!,2024-09-22
6126,2120,1072,2,"Poor quality, not worth the price.",2024-07-21
6127,2132,1073,5,Absolutely love it! Highly recommend.,2024-08-04
6128,2130,1074,3,"It's okay, works fine but not amazing.",2024-12-03
6129,2008,1075,5,Perfect! Exactly what I needed.,2024-08-25
6130,2086,1076,5,Outstanding quality and fast delivery.,2024-10-11
6131,2063,1076,1,"Worst purchase, totally unusable.",2024-09-08
6132,2057,1077,5,Absolutely love it! Highly recommend.,2024-10-27
6133,2044,1078,5,Best purchase ever! Five stars!,2024-11-08
6134,2138,1079,1,"Worst purchase, totally unusable.",2024-11-30
6135,2099,1079,5,Absolutely love it! Highly recommend.,2024-06-23
6136,2030,1080,5,Perfect! Exactly what I needed.,2024-07-12
6137,2051,1081,5,Perfect! Exactly what I needed.,2024-09-19
6138,2003,1082,4,"Very good product, happy with purchase.",2024-08-31
6139,2072,1083,5,Perfect! Exactly what I needed.,2024-09-24
6140,2057,1084,5,Excellent product! Exceeded my expectations.,2024-09-08
6141,2130,1085,4,"Very good product, happy with purchase.",2024-11-09
